distance;prr;successes;opportunities
50,000000;0,984809;2658;2699
100,000000;0,960260;2658;2768
150,000000;0,960685;2468;2569
200,000000;0,998896;1809;1811
250,000000;0,913019;1627;1782
300,000000;0,917651;2797;3048
350,000000;0,819640;2504;3055
400,000000;0,902836;1719;1904
450,000000;0,693684;1318;1900
500,000000;0,660194;1156;1751
550,000000;0,567708;763;1344
600,000000;0,439909;582;1323
650,000000;0,337395;443;1313
700,000000;0,197869;260;1314
750,000000;0,097959;120;1225
800,000000;0,042365;48;1133
850,000000;0,015098;17;1126
900,000000;0,004468;5;1119
950,000000;0,000000;0;1138
1000,000000;0,000000;0;1103
1050,000000;0,000000;0;0
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
